# _tick,_time,frames,mean_episode_return_0,mean_episode_length_0,loss_0,mean_episode_return_1,mean_episode_length_1,loss_1,mean_episode_return_2,mean_episode_length_2,loss_2,mean_episode_return_3,mean_episode_length_3,loss_3
94,1766563498.8556201,300800,-0.6222814917564392,53.27941131591797,0.9876265525817871,0.674312174320221,42.0,0.11133088916540146,-0.6154394149780273,57.65079879760742,0.45378243923187256,0.640426516532898,40.0361442565918,0.11108613759279251
95,1766563499.3215384,304000,-0.6222814917564392,53.27941131591797,0.9876265525817871,0.674312174320221,42.0,0.11133088916540146,-0.6308217644691467,39.97468566894531,0.14552463591098785,0.640426516532898,40.0361442565918,0.11108613759279251
96,1766563502.8917308,307200,-0.6362709999084473,43.9054069519043,0.9863271713256836,0.674312174320221,42.0,0.11133088916540146,-0.6308217644691467,39.97468566894531,0.14552463591098785,0.640426516532898,40.0361442565918,0.11108613759279251
97,1766563504.857094,310400,-0.6362709999084473,43.9054069519043,0.9863271713256836,0.6891161799430847,42.30666732788086,0.06096402555704117,-0.6308217644691467,39.97468566894531,0.14552463591098785,0.640426516532898,40.0361442565918,0.11108613759279251
98,1766563513.7568586,313600,-0.6362709999084473,43.9054069519043,0.9863271713256836,0.6891161799430847,42.30666732788086,0.06096402555704117,-0.6450210213661194,41.67142868041992,0.0829254686832428,0.640426516532898,40.0361442565918,0.11108613759279251
99,1766563514.370439,316800,-0.6492613554000854,43.45454406738281,0.9882508516311646,0.6891161799430847,42.30666732788086,0.06096402555704117,-0.6450210213661194,41.67142868041992,0.0829254686832428,0.640426516532898,40.0361442565918,0.11108613759279251
100,1766563514.4106555,320000,-0.6492613554000854,43.45454406738281,0.9882508516311646,0.6891161799430847,42.30666732788086,0.06096402555704117,-0.6450210213661194,41.67142868041992,0.0829254686832428,0.6548094153404236,39.93333435058594,0.12472320348024368
101,1766563518.794098,323200,-0.6492613554000854,43.45454406738281,0.9882508516311646,0.7026328444480896,47.70000076293945,0.20593714714050293,-0.6450210213661194,41.67142868041992,0.0829254686832428,0.6548094153404236,39.93333435058594,0.12472320348024368
102,1766563526.8343022,326400,-0.6560507416725159,81.66666412353516,0.9937973022460938,0.7026328444480896,47.70000076293945,0.20593714714050293,-0.6450210213661194,41.67142868041992,0.0829254686832428,0.6548094153404236,39.93333435058594,0.12472320348024368
103,1766563526.9760668,329600,-0.6560507416725159,81.66666412353516,0.9937973022460938,0.7026328444480896,47.70000076293945,0.20593714714050293,-0.6526127457618713,73.45000457763672,0.872691810131073,0.6548094153404236,39.93333435058594,0.12472320348024368
