# _tick,_time,frames,mean_episode_return_0,mean_episode_length_0,loss_0,mean_episode_return_1,mean_episode_length_1,loss_1,mean_episode_return_2,mean_episode_length_2,loss_2,mean_episode_return_3,mean_episode_length_3,loss_3
322,1766559467.2235248,1030400,0.06862743943929672,1636.5,1.0002557039260864,-0.040816329419612885,649.0,0.9622092843055725,0.12237443029880524,1233.3333740234375,1.1790791749954224,-0.039814822375774384,1613.0,1.0046495199203491
323,1766559468.779897,1033600,0.056201547384262085,3219.0,1.0019768476486206,-0.040816329419612885,649.0,0.9622092843055725,0.12237443029880524,1233.3333740234375,1.1790791749954224,-0.039814822375774384,1613.0,1.0046495199203491
324,1766559474.9589396,1036800,0.056201547384262085,3219.0,1.0019768476486206,-0.040816329419612885,649.0,0.9622092843055725,0.1342342346906662,1983.0,0.9869108200073242,-0.039814822375774384,1613.0,1.0046495199203491
325,1766559475.2945976,1040000,0.056201547384262085,3219.0,1.0019768476486206,-0.040816329419612885,649.0,0.9622092843055725,0.1342342346906662,1983.0,0.9869108200073242,-0.052968043833971024,1368.0,1.0163753032684326
326,1766559476.779014,1043200,0.056201547384262085,3219.0,1.0019768476486206,-0.046666670590639114,1225.666748046875,0.9706110954284668,0.1342342346906662,1983.0,0.9869108200073242,-0.052968043833971024,1368.0,1.0163753032684326
327,1766559481.9408095,1046400,0.056201547384262085,3219.0,1.0019768476486206,-0.046666670590639114,1225.666748046875,0.9706110954284668,0.1342342346906662,1983.0,0.9869108200073242,-0.06576577574014664,1354.5,1.000872015953064
328,1766559483.0255094,1049600,0.0555555522441864,1829.5,0.9996381998062134,-0.046666670590639114,1225.666748046875,0.9706110954284668,0.1342342346906662,1983.0,0.9869108200073242,-0.06576577574014664,1354.5,1.000872015953064
329,1766559492.7931218,1052800,0.06628786772489548,1299.0,1.0012139081954956,-0.046666670590639114,1225.666748046875,0.9706110954284668,0.1342342346906662,1983.0,0.9869108200073242,-0.06576577574014664,1354.5,1.000872015953064
330,1766559493.2884567,1056000,0.06628786772489548,1299.0,1.0012139081954956,-0.046666670590639114,1225.666748046875,0.9706110954284668,0.13244444131851196,1534.5,1.0054692029953003,-0.06576577574014664,1354.5,1.000872015953064
331,1766559499.4525113,1059200,0.06628786772489548,1299.0,1.0012139081954956,-0.05228758975863457,972.3333740234375,0.9821737408638,0.13244444131851196,1534.5,1.0054692029953003,-0.06576577574014664,1354.5,1.000872015953064
332,1766559501.0405486,1062400,0.06628786772489548,1299.0,1.0012139081954956,-0.05228758975863457,972.3333740234375,0.9821737408638,0.13244444131851196,1534.5,1.0054692029953003,-0.06044445186853409,2034.666748046875,1.0076056718826294
333,1766559501.798027,1065600,0.06554305553436279,1945.0,1.0003514289855957,-0.05228758975863457,972.3333740234375,0.9821737408638,0.13244444131851196,1534.5,1.0054692029953003,-0.06044445186853409,2034.666748046875,1.0076056718826294
334,1766559504.2912042,1068800,0.06554305553436279,1945.0,1.0003514289855957,-0.05228758975863457,972.3333740234375,0.9821737408638,0.13070175051689148,1151.0,1.0113682746887207,-0.06044445186853409,2034.666748046875,1.0076056718826294
335,1766559507.6884584,1072000,0.06554305553436279,1945.0,1.0003514289855957,-0.05228758975863457,972.3333740234375,0.9821737408638,0.13070175051689148,1151.0,1.0113682746887207,-0.06044445186853409,2034.666748046875,1.0001691579818726
336,1766559514.8074486,1075200,0.07592591643333435,2052.0,1.0008599758148193,-0.05228758975863457,972.3333740234375,0.9821737408638,0.13070175051689148,1151.0,1.0113682746887207,-0.06044445186853409,2034.666748046875,1.0001691579818726
337,1766559517.407699,1078400,0.07592591643333435,2052.0,1.0008599758148193,-0.05128205940127373,1320.5,0.9590962529182434,0.13070175051689148,1151.0,1.0113682746887207,-0.06044445186853409,2034.666748046875,1.0001691579818726
338,1766559519.0193224,1081600,0.07592591643333435,2052.0,1.0008599758148193,-0.05128205940127373,1320.5,0.9590962529182434,0.1290043294429779,1414.5,0.959279477596283,-0.06044445186853409,2034.666748046875,1.0001691579818726
339,1766559523.9473186,1084800,0.07592591643333435,2052.0,1.0008599758148193,-0.05128205940127373,1320.5,0.9590962529182434,0.1290043294429779,1414.5,0.959279477596283,-0.0640350952744484,1241.0,0.9985445737838745
