# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1,mean_episode_return_2,loss_2,mean_episode_return_3,loss_3
20,1766587489.8934412,64000,0.5154396295547485,0.3752000331878662,1.3383963108062744,3.4370949268341064,1.0131222009658813,2.0431299209594727,1.1469473838806152,2.5114104747772217
21,1766587490.7534938,67200,0.5154396295547485,0.3752000331878662,1.3383963108062744,3.4370949268341064,0.9961203932762146,1.554300308227539,1.1469473838806152,2.5114104747772217
22,1766587492.52177,70400,0.5154396295547485,0.3752000331878662,1.3383963108062744,3.4370949268341064,0.9961203932762146,1.554300308227539,1.186760663986206,2.212843179702759
23,1766587495.369867,73600,0.5154396295547485,0.3752000331878662,1.3466733694076538,2.0760536193847656,0.9961203932762146,1.554300308227539,1.186760663986206,2.212843179702759
24,1766587498.368349,76800,0.489238440990448,0.34355369210243225,1.3466733694076538,2.0760536193847656,0.9961203932762146,1.554300308227539,1.186760663986206,2.212843179702759
25,1766587499.6727352,80000,0.489238440990448,0.34355369210243225,1.3466733694076538,2.0760536193847656,1.005669355392456,1.7154077291488647,1.186760663986206,2.212843179702759
26,1766587501.973834,83200,0.489238440990448,0.34355369210243225,1.3466733694076538,2.0760536193847656,1.005669355392456,1.7154077291488647,1.2215818166732788,2.0834360122680664
27,1766587504.7414193,86400,0.489238440990448,0.34355369210243225,1.3354054689407349,2.037027597427368,1.005669355392456,1.7154077291488647,1.2215818166732788,2.0834360122680664
28,1766587507.1062644,89600,0.46895813941955566,0.34836259484291077,1.3354054689407349,2.037027597427368,1.005669355392456,1.7154077291488647,1.2215818166732788,2.0834360122680664
29,1766587508.40942,92800,0.46895813941955566,0.34836259484291077,1.3354054689407349,2.037027597427368,1.004490852355957,1.70012629032135,1.2215818166732788,2.0834360122680664
30,1766587511.2992377,96000,0.46895813941955566,0.34836259484291077,1.3354054689407349,2.037027597427368,1.004490852355957,1.70012629032135,1.199378490447998,1.6105659008026123
31,1766587514.3268182,99200,0.46895813941955566,0.34836259484291077,1.3467514514923096,2.095475912094116,1.004490852355957,1.70012629032135,1.199378490447998,1.6105659008026123
32,1766587515.5690093,102400,0.4503946900367737,0.32366102933883667,1.3467514514923096,2.095475912094116,1.004490852355957,1.70012629032135,1.199378490447998,1.6105659008026123
